"YEAR";"HABITAT";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup"
2001;"Aquatique";123;123;123;123;123
2002;"Aquatique";102;102;102;102;102
2003;"Aquatique";46,75;62,5;80;97,5;113,25
2005;"Aquatique";80,03125;80,3125;80,625;80,9375;81,21875
2006;"Aquatique";65,00625;76,3125;88,875;101,4375;112,74375
2007;"Aquatique";71,58125;76,8125;89,375;105,25;119,425
2008;"Aquatique";63,375;66,75;72,125;76,9602272727273;78,8778409090909
2009;"Aquatique";49,9875;58,875;68,75;75,7386363636364;82,0284090909091
2010;"Aquatique";66,6676136363636;70,4261363636364;81,4090909090909;98,5;118,75
2011;"Aquatique";85,6;91;96,5;100,75;102,775
2012;"Aquatique";45,825;53,25;61,125;80,390625;118,5703125
2013;"Aquatique";37,6125;52,125;65,5681818181818;80,2272727272727;98,0227272727273
2014;"Aquatique";58,125;86,25;89,0909090909091;91;146,8
2015;"Aquatique";37,65;57,4431818181818;68,4166666666667;87,0681818181818;120,9
2016;"Aquatique";46,8333333333333;51,8333333333333;73,2795698924731;95,0564516129032;117,375
2017;"Aquatique";59,2;74;80,9090909090909;87,2727272727273;119,737931034483
2018;"Aquatique";41,7272727272727;45,8333333333333;60;71;100,2
2019;"Aquatique";47,5;54,25;74,5;98;114
2020;"Aquatique";30,7168560606061;31,032196969697;31,3825757575758;31,7329545454545;32,0482954545455
1997;"STOC-rozo";73,45;77,5;82;82;82
1998;"STOC-rozo";68,1;69;70;88,5;105,15
1999;"STOC-rozo";77,35;80,5;84;88;91,6
2000;"STOC-rozo";45,25;65,5;88;111;131,7
2001;"STOC-rozo";28,8;37;39;42;61,6
2002;"STOC-rozo";19,6;35;52;89;97,1
2003;"STOC-rozo";27,925;47,5;59,5;71,5;88,075
2004;"STOC-rozo";29,6;42;67;87;131,2
2005;"STOC-rozo";24,35;34,25;47;60;84,15
2006;"STOC-rozo";24,25;35;49;65;86
2007;"STOC-rozo";26,8;50;69;85;136,8
2008;"STOC-rozo";18;48;60;72;119,9
2009;"STOC-rozo";26,9;35;49;80;106,2
2010;"STOC-rozo";24,7;66;86;106;115,9
2011;"STOC-rozo";34;51,5;79;97,5;114,25
2012;"STOC-rozo";26,725;52,25;60;71,40625;85,2
2013;"STOC-rozo";21,3;40;49;81;103,7
2014;"STOC-rozo";28,4;41;59;72;124,2
2015;"STOC-rozo";25;38,6111111111111;63;78;98,525
2016;"STOC-rozo";30,5361111111111;43,1944444444444;67,5;78;90,9
2017;"STOC-rozo";29,925;39,5;68;91;96,725
2018;"STOC-rozo";27,9;44;50;65;97,8
2019;"STOC-rozo";12,225;34,3333333333333;45,5;70;132,7
2020;"STOC-rozo";30,35;33,5;35;59;68,9
1989;"Terrestre";6,796875;20,15625;35;54,8333333333333;72,6833333333334
1990;"Terrestre";10,5729166666667;28,7599364069952;41,5384615384615;70,3854166666667;93,8896103896104
1991;"Terrestre";8,07932692307692;20,2702702702703;30;51;62,1785714285714
1992;"Terrestre";16,9399808703969;24,4711538461538;33,125;49,469696969697;58,9717261904762
1993;"Terrestre";20,7240196078431;25,3040540540541;33,8701923076923;43,6339285714286;62,3389136904762
1994;"Terrestre";19,4032805429864;26,9182597231378;31,5104166666667;42,5590659340659;59,8158482142857
1995;"Terrestre";17,3039215686275;22,7251407129456;31,0416666666667;44,2916666666667;58,0691964285714
1996;"Terrestre";18,3186467348544;26,3950715421304;37,34375;46,953125;58,8654761904762
1997;"Terrestre";4,69158143194335;22,3966613672496;36,875;52,828125;63,6678571428571
1998;"Terrestre";18,5843770599868;23,5746606334842;35,4285714285714;53,8958333333333;74,5
1999;"Terrestre";12,5901450230719;24,1643684500827;43,25;49,765625;65,6703125
2000;"Terrestre";13,0762548262548;31,2443181818182;40,78125;50,0982142857143;72,31
2001;"Terrestre";6,14285714285714;28,6067503924647;35,4285714285714;55,625;69,8769230769231
2002;"Terrestre";20,7653562653563;30,7708333333333;42,3333333333333;54,40625;85,0432692307692
2003;"Terrestre";14,7809523809524;28,7443438914027;44,8148148148148;57,7777777777778;104,419871794872
2004;"Terrestre";12,1595238095238;28,3531746031746;47,889400921659;62,8418803418803;101,5875
2005;"Terrestre";15,6904761904762;31,0740740740741;41,4285714285714;67,75;99,1833333333333
2006;"Terrestre";1,51515151515152;23,6513157894737;39,8981900452489;55,6089743589744;86,5625
2007;"Terrestre";5,52083333333333;26,5972222222222;47,0723684210526;63,4615384615385;93,9133522727273
2008;"Terrestre";6,31944444444444;28,6052631578947;43,2291666666667;58,2598039215686;85
2009;"Terrestre";10,9404761904762;27,3684210526316;38;53,3333333333333;88,0454545454545
2010;"Terrestre";10;34,1176470588235;47,1428571428571;61,875;106
2011;"Terrestre";16,9560767590618;38,6111111111111;54,4025735294118;68,5;131,939393939394
2012;"Terrestre";2,3324016563147;35,5;48,1140350877193;60,5769230769231;120
2013;"Terrestre";11,2057416267943;27,5438596491228;39,6875;52,1744966442953;71,9909090909091
2014;"Terrestre";15,1267942583732;31,9;46;55;86,4999999999999
2015;"Terrestre";14,5660377358491;35,2276422764228;46,1538461538461;65;108,75
2016;"Terrestre";12,9071428571429;34,5280898876404;51,6666666666667;61,2142857142857;93,65
2017;"Terrestre";13,8714285714286;31;44,1666666666667;60;87,15
2018;"Terrestre";16,2644736842105;36,5441176470588;45,4166666666667;57,2738095238095;84,055
2019;"Terrestre";15,3333333333333;38,125;49,2857142857143;62,5;94
2020;"Terrestre";4,37826086956522;19,0096618357488;30,2238805970149;58,1944444444444;93,6
1989;"tout";6,796875;20,15625;35;54,8333333333333;72,6833333333334
1990;"tout";10,5729166666667;28,7599364069952;41,5384615384615;70,3854166666667;93,8896103896104
1991;"tout";8,07932692307692;20,2702702702703;30;51;62,1785714285714
1992;"tout";16,9399808703969;24,4711538461538;33,125;49,469696969697;58,9717261904762
1993;"tout";20,7240196078431;25,3040540540541;33,8701923076923;43,6339285714286;62,3389136904762
1994;"tout";19,4032805429864;26,9182597231378;31,5104166666667;42,5590659340659;59,8158482142857
1995;"tout";17,3039215686275;22,7251407129456;31,0416666666667;44,2916666666667;58,0691964285714
1996;"tout";18,3186467348544;26,3950715421304;37,34375;46,953125;58,8654761904762
1997;"tout";5,6191974822974;25,1611226611227;41,25;63,3571428571429;82
1998;"tout";18,6718852999341;27,0072115384615;45;68;97,1416666666666
1999;"tout";13,3866183256427;33,8010204081633;48,125;72,5;90
2000;"tout";14,1158301158301;32,25;43;53,75;115,6
2001;"tout";8,28571428571428;29,375;39;55;84,2923076923078
2002;"tout";20,3501228501229;31,4182692307692;48,7179487179487;56,9761904761905;97,625
2003;"tout";16,6522522522523;32,1052631578947;48,1818181818182;66;107,711538461538
2004;"tout";12,5238095238095;40;48,0769230769231;67,3333333333333;114,25
2005;"tout";17;31,4814814814815;42;68;94,0999999999999
2006;"tout";1,67272727272727;27,6315789473684;41,6129032258064;58,4615384615385;90
2007;"tout";5,96904761904762;31,3333333333333;51,6666666666667;69,4117647058824;121,466666666667
2008;"tout";7,5;31,3333333333333;47;63;89,5571428571428
2009;"tout";11,3690476190476;29;40,5;55,8333333333333;94,6666666666667
2010;"tout";11,2142857142857;35,9821428571429;51,0555555555556;71,9545454545455;119,15
2011;"tout";18,1428571428571;41,2571428571429;55,8333333333333;74,0833333333333;127,331818181818
2012;"tout";5,76863354037267;37,75;49,25;63,9319029850746;120,625
2013;"tout";12,8522727272727;29;40,7941176470588;53,4328358208955;91,575
2014;"tout";16,6172248803828;32,6666666666667;47,2222222222222;58,3333333333333;95,35
2015;"tout";15,272591857001;35,7619047619048;48,2926829268293;67,8888888888889;111,85
2016;"tout";12,9571428571429;35,8536585365854;51,8181818181818;64;102,55
2017;"tout";14,63;33,0426829268293;47;66,9807692307692;96,775
2018;"tout";17,2836956521739;37,1904761904762;46,75;59,125;95,5149999999999
2019;"tout";13,0357142857143;38,1636235955056;49,2857142857143;64,6875;116,5
2020;"tout";4,8195652173913;19,6428571428571;32,2916666666667;58,5555555555556;90,8
